epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,4725.86,0.50492,0.74954,0.99749,1.40874,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4825.94,0.50354,0.74452,0.99824,1.47918,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4923.3,0.50167,0.74845,0.99849,1.35716,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,5023.09,0.50709,0.75238,0.999,1.41139,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5121.89,0.47626,0.74829,0.99824,1.49753,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,5220.04,0.48239,0.75163,0.99916,1.41852,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,6843.23,0.47055,0.74987,0.99891,1.28087,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,6939.47,0.46843,0.7533,0.99891,1.43677,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,7032.19,0.46267,0.75071,0.99833,1.5027,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,7123.87,0.45844,0.75815,0.99883,1.41451,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,7216.36,0.46036,0.75615,0.99824,1.57931,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,7308.98,0.45329,0.75197,0.99816,1.50045,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,7401.03,0.44714,0.75431,0.99808,1.43313,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,7504.06,0.44885,0.75389,0.99891,1.3816,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,7757.02,0.44291,0.7574,0.99799,1.42568,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,8375.67,0.44431,0.7564,0.99849,1.48803,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,8553.85,0.44022,0.7584,0.99858,1.4153,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,8646.97,0.42232,0.75757,0.99833,1.52261,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,8739.42,0.43187,0.75866,0.99849,1.58883,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,8832.93,0.42939,0.75489,0.99841,1.66528,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,8925.67,0.4194,0.75941,0.99866,1.56045,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,9019.05,0.41953,0.75924,0.99833,1.64749,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,9111.53,0.41655,0.75983,0.99791,1.59973,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,9471.64,0.40414,0.75966,0.99774,1.59654,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,10072.8,0.39836,0.76033,0.99816,1.56734,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,10419.7,0.4034,0.7584,0.99883,1.56055,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,10511.6,0.40737,0.75623,0.99841,1.67328,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,10606.6,0.39069,0.76167,0.99849,1.5653,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,10701.3,0.39258,0.76024,0.99875,1.57965,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,10792.8,0.3928,0.75924,0.99858,1.63105,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,10885.2,0.38264,0.7605,0.99833,1.6043,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,10976.8,0.37493,0.761,0.99858,1.50066,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,11068.9,0.37561,0.75832,0.99833,1.55699,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,11160.5,0.36984,0.75891,0.99816,1.54198,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,11251.8,0.37764,0.76075,0.99833,1.52792,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,11577.3,0.3718,0.76091,0.99799,1.60509,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,11897,0.36065,0.76108,0.99833,1.61413,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,14473.2,0.37013,0.7605,0.99799,1.57574,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,20327.9,0.3595,0.76116,0.99833,1.62118,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,24213.4,0.34927,0.76275,0.99808,1.60307,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,30205,0.36311,0.76167,0.99799,1.65508,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,33464.8,0.35485,0.76167,0.99799,1.67678,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,34105.9,0.35038,0.762,0.99741,1.68632,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,39497.8,0.34849,0.76058,0.99808,1.69913,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,44246.3,0.33678,0.76175,0.99791,1.73214,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,44401,0.34249,0.76008,0.99783,1.72735,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,44640.4,0.34435,0.76024,0.99816,1.74547,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,44793.3,0.34446,0.76275,0.99841,1.77096,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,44956.3,0.32657,0.76275,0.99808,1.76301,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,45110.8,0.33099,0.76367,0.99799,1.7765,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,45272.8,0.33059,0.76275,0.99791,1.74926,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,45432.3,0.33375,0.76309,0.99799,1.76052,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,45595.5,0.33026,0.76267,0.99833,1.76338,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,45755.7,0.30894,0.76367,0.99833,1.78146,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,45918.5,0.31413,0.76309,0.99833,1.8055,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,46080.3,0.30925,0.76292,0.99833,1.83006,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,46240.2,0.30139,0.76275,0.99849,1.85408,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,46402.3,0.32051,0.76116,0.99833,1.85714,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,46568.9,0.30763,0.76158,0.99816,1.87894,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,46724,0.30818,0.76033,0.99841,1.8593,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,46929.5,0.304,0.76075,0.99833,1.8431,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,47082.8,0.30033,0.76024,0.99824,1.84948,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,47235.6,0.30037,0.76141,0.99808,1.85334,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,47392.7,0.29848,0.76041,0.99816,1.85362,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,47568.1,0.28887,0.76058,0.99841,1.85849,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,47735.4,0.2885,0.76116,0.99849,1.86466,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,47901.4,0.28325,0.76225,0.99841,1.88417,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,48056.2,0.29102,0.76217,0.99841,1.87726,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,48794.5,0.28817,0.76175,0.99849,1.89169,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,49290.9,0.29474,0.762,0.99841,1.88821,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,49717.3,0.28803,0.76208,0.99841,1.90047,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,51783,0.2844,0.7625,0.99841,1.89506,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,52075.1,0.27589,0.76284,0.99833,1.90378,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,52282,0.27666,0.76267,0.99841,1.91258,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,52450.5,0.28672,0.76284,0.99841,1.91455,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,52611.7,0.27333,0.76334,0.99849,1.92238,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,52771.6,0.26322,0.76325,0.99841,1.92371,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,52945.5,0.26136,0.76342,0.99841,1.91821,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,53116.4,0.26205,0.76417,0.99833,1.92618,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,53271.3,0.26958,0.76292,0.99833,1.91117,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,53429.5,0.25314,0.76334,0.99833,1.92878,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,53607.7,0.26666,0.76351,0.99824,1.92222,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,53786.3,0.26287,0.76342,0.99833,1.92247,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,53952.5,0.25222,0.76317,0.99833,1.92487,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,54125.3,0.24175,0.76267,0.99833,1.92693,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,54292.9,0.24547,0.76267,0.99833,1.93039,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,54446.9,0.24954,0.76275,0.99833,1.9323,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,54607.9,0.25314,0.76309,0.99833,1.93417,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,54773.6,0.24471,0.76342,0.99833,1.92529,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,54947.3,0.2414,0.76392,0.99833,1.92564,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
137,55105,0.23821,0.76367,0.99833,1.92405,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
138,56164.1,0.24756,0.76325,0.99841,1.92917,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479
139,56334.5,0.23239,0.76359,0.99841,1.93341,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
