epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,8387.68,1.07262,0.70448,0.99068,0.79598,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,8974.27,1.0723,0.70346,0.9917,0.79297,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,9558.37,1.05222,0.70751,0.99089,0.78302,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,9859,1.05727,0.7065,0.99089,0.7816,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,9935.65,1.05048,0.70711,0.99149,0.77926,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,10344.2,1.04819,0.70731,0.9919,0.77152,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,10419,1.05596,0.71724,0.99149,0.76117,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,10616.9,1.03415,0.71967,0.9923,0.75459,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,10700.6,1.03323,0.72615,0.9923,0.74653,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,10780.4,1.02766,0.72817,0.9917,0.73606,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,10862.7,1.0347,0.72838,0.9923,0.73572,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,10941,1.02511,0.73,0.99392,0.72804,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,11016.5,1.01399,0.73547,0.99433,0.71668,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,11091.6,1.01708,0.73871,0.99332,0.7161,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,11166.2,1.01323,0.7381,0.99433,0.71124,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,11243.1,1.01126,0.74195,0.99413,0.70233,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,11320.8,1.01459,0.74418,0.99352,0.69617,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,11396.6,0.99781,0.74539,0.99392,0.68549,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,11471.7,1.00508,0.74661,0.99392,0.68167,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,11778.8,0.9878,0.75106,0.99494,0.67637,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,11853.8,0.98813,0.75187,0.99534,0.67121,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,11995.4,0.99218,0.75491,0.99494,0.66611,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,12073.2,0.9855,0.75633,0.99453,0.65948,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,12151.1,0.99108,0.75775,0.99453,0.65576,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,12228.7,0.98215,0.75937,0.99433,0.65025,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,12305.5,0.975,0.76079,0.99433,0.64724,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,12572.6,0.97736,0.76403,0.99453,0.64356,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
